"Sira";"Hat Adi";"kV";"Durum";"Neden";"Aktif ID Adedi";"Kaynakta Bulunan Aktif ID";"Panel MW";"Panel MVAR";"Panel Yuklenme (%)";"Aktif SCADA IDler";"Reaktif SCADA IDler";"Alias Potansiyeli";"Alias Notu";"Kaynak Deger Ozet"
"156";"400kV ÇOBANBEYLİ - ANDIRIN EİH";"400";"ambiguous-live";"Coklu aday var; kaynak terminal adlari TM adlariyla exact eslesmedigi icin yon normalize edilemiyor.";"2";"2";"";"29,67";"";"8b6c387b-26d1-4cf0-a6bd-841a36bf61c3 | 08a553da-e948-4fc6-98da-6bd3272f458e";"f1a36cc3-7c38-433f-9777-ce255da5e903 | 5d1c8870-fd62-4a5a-8fa4-cd0d73e8e759";"would-resolve";"Alias-aware yon eslestirme ile tolerans icinde birlesir (15.17 MW).";"219.08 | -203.91"
"157";"400kV ÇARŞAMBA - BİLGİN SAMSUN DGKÇ EİH";"400";"matched-single";"En yeni aktif aday tekil secildi.";"2";"2";"";"-5,89";"";"a3fc27ea-e50e-4a9d-9c4a-2002d2bce777 | 4fb9348a-e551-4328-986b-2f100d2844d9";"823781ce-3c28-40af-bbfb-19a37a88a5c5 | 63d0461c-4709-47d2-af77-3481d14b4488";"would-resolve";"Alias-aware yon eslestirme ile tekil secim korunur.";"494.69"
"158";"400kV KURŞUNLU - BOYABAT HES EİH";"400";"matched-single";"En yeni aktif aday tekil secildi.";"2";"2";"";"-49,81";"";"b58625d9-1c71-4a8d-bba8-373aeac84c9a | 76adb9f8-2e6e-4db8-b624-70e20d12524d";"03131556-b813-405c-b185-0d1573676e46 | d70cf574-1862-48ea-8e3d-e16a38c5847b";"would-resolve";"Alias-aware yon eslestirme ile tekil secim korunur.";"341.51"
"159";"400kV DİYARBAKIR3 - BATMAN2 EİH";"400";"matched-single";"En yeni aktif aday tekil secildi.";"2";"2";"";"-55,92";"";"f9c07618-d312-466c-b91c-edfd1cdc4a78 | 4a8baa49-0ffc-44c4-8d1e-eff5071b65e7";"161708ec-c0de-445d-be3a-04083d8c3d35 | de8f6a47-2fc2-4045-b757-2aa602e79156";"would-resolve";"Alias-aware yon eslestirme ile tekil secim korunur.";"556.74"
"160";"400kV BEYKENT OSB - BİRECİK HES EİH";"400";"ambiguous-live";"Coklu aday var; kaynak terminal adlari TM adlariyla exact eslesmedigi icin yon normalize edilemiyor.";"2";"2";"";"";"";"cf55d8ae-4e60-44fd-8980-8620dc976ad8 | 2ef0fdb7-a3c4-4711-b4b4-000794f659f7";"42f72083-eae5-41a6-b8b4-55fd9c78d7ab | ff488c2a-fb90-40bf-9c89-e1aba370b84b";"would-resolve";"Alias-aware yon eslestirme ile tolerans icinde birlesir (4.59 MW).";"-759.00 | 763.60"
"161";"400kV ADANA - SUGÖZÜ TES EİH";"400";"matched-single";"En yeni aktif aday tekil secildi.";"2";"2";"";"";"";"5f98e6c2-fbff-493b-bcbd-2d0094d53c94 | 067f8d7d-ad52-418a-9b19-6bf0b64036d8";"d04c8035-efb3-4306-a543-429bca01baf2 | c4af5863-2e08-4207-92df-9cd628c6f670";"would-resolve";"Alias-aware yon eslestirme ile tekil secim korunur.";"159.46"
"162";"400kV ADANA - SANİBEY HES EİH";"400";"matched-single";"En yeni aktif aday tekil secildi.";"2";"2";"";"";"";"87050d64-24de-48e9-994d-aab5b5408640 | 511a1bd1-668f-4c44-842f-27f7250c8f3c";"a6fc29b4-1175-4b67-9256-bac60639700d | 52d6710a-5f34-4a48-bbe3-0876794c1d65";"would-resolve";"Alias-aware yon eslestirme ile tekil secim korunur.";"114.81"
"163";"400kV TOSÇELİK - BAŞTUĞ EİH";"400";"ambiguous-live";"Coklu aday var; kaynak terminal adlari TM adlariyla exact eslesmedigi icin yon normalize edilemiyor.";"2";"2";"";"";"";"28572ca1-a57f-4e4d-a7d9-17a326652f2b | 708301c9-ffe1-4599-b456-91c5b1b965ed";"8deee93e-2263-4e93-b8fb-ea852feda9c6 | d3a5b9e9-ad68-46aa-b116-3ad6176aefdf";"would-resolve";"Alias-aware yon eslestirme ile tolerans icinde birlesir (27.85 MW).";"57.16 | -29.31"
"164";"400kV ERZİN - ANDIRIN EİH";"400";"missing-source-row";"Aktif SCADA ID kaynak tabloda bulunamadi.";"2";"0";"";"0,32";"";"cd13eab3-e2b4-41bf-a9af-71cd01b22d3c | cee3bb96-4ea1-4be2-9ac4-235d70be806b";"3d901e2e-4fec-4a02-a639-94310f967300 | fdaa6cb0-4ca9-4dd2-af88-05239d55d1d0";"";"";""
"165";"400kV ÜMRANİYE - TEPEÖREN EİH";"400";"matched-single";"En yeni aktif aday tekil secildi.";"2";"2";"";"-91,32";"";"1f697b60-43c3-43b3-8b3f-3d4381abcb7e | 91a2186d-8723-4fb7-834c-b31e9ab04623";"6f3462b2-de65-4924-a5c6-db163e4e5269 | 88882142-03e1-472d-99d7-716c82aa9c57";"would-resolve";"Alias-aware yon eslestirme ile tekil secim korunur.";"586.32"
