"Sira";"Hat Adi";"kV";"Durum";"Neden";"Aktif ID Adedi";"Kaynakta Bulunan Aktif ID";"Panel MW";"Panel MVAR";"Panel Yuklenme (%)";"Aktif SCADA IDler";"Reaktif SCADA IDler";"Alias Potansiyeli";"Alias Notu";"Kaynak Deger Ozet"
"277";"400kV ÜMRANİYE - KAVACIK EİH";"400";"ambiguous-live";"Coklu aday var; kaynak terminal adlari TM adlariyla exact eslesmedigi icin yon normalize edilemiyor.";"2";"2";"";"9,65";"";"7b83a898-6e6c-4dc4-b635-a4fbd7443321 | d1c84f0d-6d87-4172-b47c-9aa714cb931e";"080d845f-ebf5-4f04-ae8b-6ec2fb1c999a | a3524579-8184-4f69-92f1-b6f7999aa26f";"would-resolve";"Alias-aware yon eslestirme ile tolerans icinde birlesir (114.13 MW).";"-321.38 | 435.52"
"278";"400kV ALİBEYKÖY - KAVACIK EİH";"400";"ambiguous-live";"Coklu aday var; kaynak terminal adlari TM adlariyla exact eslesmedigi icin yon normalize edilemiyor.";"2";"2";"";"";"";"2b01099b-215c-49a0-a86b-7a77dac72007 | 2bdc6293-7907-43f8-9a07-d0416f8a6da1";"90e3d474-dc37-43c4-80de-9efa2c0dcea6 | 8ad97646-603a-4439-bd86-4b73dbffc5b6";"would-resolve";"Alias-aware yon eslestirme ile tolerans icinde birlesir (95.87 MW).";"-520.93 | 616.80"
"279";"400kV ADA2 DGKÇS - KAVACIK EİH";"400";"ambiguous-live";"Coklu aday var; kaynak terminal adlari TM adlariyla exact eslesmedigi icin yon normalize edilemiyor.";"2";"2";"";"";"";"665f0ed3-7a4e-4f28-8b18-cfcc91eb1f39 | d45533bb-ec6e-4131-b8fa-6401ca6c2786";"dad5161a-a51f-4599-8d94-8d5c44378320 | 1ba0542b-3d95-4b36-b54f-94c409f00e4a";"needs-better-alias";"Alias katmani olmadan terminal yonu belirlenemiyor.";"643.39 | -616.96"
"280";"400kV BEYKOZ - KAVACIK EİH";"400";"ambiguous-live";"Coklu aday var; kaynak terminal adlari TM adlariyla exact eslesmedigi icin yon normalize edilemiyor.";"2";"2";"";"";"";"58185fb8-753d-44ad-9151-baf97107af28 | 6a5c66b7-be6b-413e-8853-6646dbafa28b";"c6f541d2-3ef3-4e02-b241-9ac660660a24 | b0dbd2bc-50d1-4f64-b721-e01038e988a6";"would-resolve";"Alias-aware yon eslestirme ile tolerans icinde birlesir (51.92 MW).";"-399.44 | 451.37"
"281";"400kV KARAPINAR MEKE GÖLÜ GES - KARATAY EİH";"400";"matched-single";"En yeni aktif aday tekil secildi.";"2";"2";"";"-21,78";"";"8d432216-f1fe-4ea0-8701-565ae6df6d0f | 921de96a-fa4d-48f4-9bc9-9e518680ae55";"52f7cb08-b64d-4d3a-b021-a1b0ca8f8bf1 | bfb41113-fe75-431d-aedc-2825325aecad";"would-resolve";"Alias-aware yon eslestirme ile tekil secim korunur.";"-379.89"
"282";"400kV KARAPINAR MEKE GÖLÜ GES - YEŞİLHİSAR EİH";"400";"matched-single";"En yeni aktif aday tekil secildi.";"2";"2";"";"-30,91";"";"dec614e3-c475-4538-9bf8-1db1f84215ba | d2813ebf-f6b0-424d-98d2-50c926aff5be";"b4454e87-72e1-4608-bbfe-d5774831fc7c | e2975f28-d870-499f-a2dd-00a7ff915442";"would-resolve";"Alias-aware yon eslestirme ile tekil secim korunur.";"-202.42"
"283";"400kV İSTANBUL RES - VİZE HAVZA EİH";"400";"matched-single";"En yeni aktif aday tekil secildi.";"2";"2";"";"-13,81";"";"683d4e41-2ea1-4ad4-af86-508780d71eb8 | d8a9c7bc-5617-4bf8-9501-836fd0a404fe";"c4aa9acf-69a6-4af3-b033-3134a3c82ca7 | fa5e6038-e6d0-4567-b7b6-1f5347ec58ae";"would-resolve";"Alias-aware yon eslestirme ile tekil secim korunur.";"-50.98"
"284";"400kV İSTANBUL RES - TAŞOLUK EİH";"400";"ambiguous-live";"Coklu aday var; kaynak terminal adlari TM adlariyla exact eslesmedigi icin yon normalize edilemiyor.";"2";"2";"";"22,85";"";"c29e60e9-d761-463a-8436-40c67676f394 | b67f32a1-0936-43ab-8f74-ec0c00fd8129";"40380c83-245b-43de-8a26-982c761464dc | d1fcef60-25eb-4b4f-a5e0-9d1c5f8512a1";"would-resolve";"Alias-aware yon eslestirme ile tolerans icinde birlesir (53.18 MW).";"102.00 | -48.83"
"285";"400kV İÇ ANADOLU DGKÇ - BOZOK EİH";"400";"matched-single";"En yeni aktif aday tekil secildi.";"2";"2";"";"-28,04";"";"d28a4615-c063-4c24-86af-86fedcf494e6 | 48d87d71-7ed7-4ae5-88a0-e324067272f8";"02c5ea42-8752-4eb0-92d1-96d7467b64cc | 705a55da-6653-4c34-b48d-3e9e0993fb69";"would-resolve";"Alias-aware yon eslestirme ile tekil secim korunur.";"405.83"
"286";"400kV ÜRGÜP - ÇOBANBEYLİ EİH";"400";"ambiguous-live";"Coklu aday var; kaynak terminal adlari TM adlariyla exact eslesmedigi icin yon normalize edilemiyor.";"2";"2";"";"";"";"b59cdcbb-fcd4-42b4-829c-cf76a0b4851c | f5795324-3d9a-4d05-bd5e-1abd8ee2d807";"b346c370-2f0d-4254-bf9d-d704415ee04b | 64bdb253-e53a-4a9e-8216-b8654b677233";"would-resolve";"Alias-aware yon eslestirme ile tolerans icinde birlesir (32.64 MW).";"760.75 | -728.12"
"287";"400kV KÖSE - İSPİR HAVZA - II EİH";"400";"ambiguous-live";"Coklu aday var; kaynak terminal adlari TM adlariyla exact eslesmedigi icin yon normalize edilemiyor.";"2";"2";"";"-38,58";"";"c68bd0bf-da68-4fac-a929-7bef2c13716a | 8517a629-698f-4381-9c73-2a3a53726a5e";"d81ae169-42a4-4ba6-887b-2f508b027048 | e9243c67-6783-423f-b2bc-9e03c9631d39";"still-ambiguous";"Alias eslestirme olsa bile uc degerler ayrisik kaliyor.";"251.18 | -242.71"
"288";"400kV KÖSE - İSPİR HAVZA - I EİH";"400";"ambiguous-live";"Coklu aday var; kaynak terminal adlari TM adlariyla exact eslesmedigi icin yon normalize edilemiyor.";"2";"2";"";"";"";"ab7764f4-7db1-4ba9-9a37-8ff804dbb9ca | ef5a1e56-9caa-4191-9af5-c9be5cfd86e5";"cf010f7b-1575-481e-8750-519e1adefb63 | 4c8a498c-25f9-4497-a227-caef28405a46";"still-ambiguous";"Alias eslestirme olsa bile uc degerler ayrisik kaliyor.";"255.66 | -243.21"
"289";"400kV SİNCAN - ÜRGÜP - II EİH";"400";"ambiguous-live";"Coklu aday var; kaynak terminal adlari TM adlariyla exact eslesmedigi icin yon normalize edilemiyor.";"2";"2";"";"110,97";"";"fb4a00fe-b41a-4323-bcb5-24e48bdabf83 | 575d5d0b-59cf-4994-bbd6-c3a56714d4e7";"a3ade5ae-20c1-48ce-8684-b70bef3843bc | 0ff2d21f-9be2-463d-a2e8-438128999113";"would-resolve";"Alias-aware yon eslestirme ile tolerans icinde birlesir (36.33 MW).";"-656.05 | 692.38"
"290";"400kV İZDEMİR TES - BORNOVA380 EİH";"400";"ambiguous-live";"Coklu aday var; kaynak terminal adlari TM adlariyla exact eslesmedigi icin yon normalize edilemiyor.";"2";"2";"";"";"";"d67eb08e-fef0-4379-90d5-3305b1c23a4e | d595d8b4-63d1-4585-8122-dc2ef4d1bc4c";"20ee8e2a-14fb-42c5-b11e-ad076b3899fb | e05dc588-f5ad-43c3-9c76-ac1b4b3ad147";"still-ambiguous";"Alias eslestirme olsa bile uc degerler ayrisik kaliyor.";"283.34 | -252.19"
"291";"400kV SİNCAN - ÜRGÜP - I EİH";"400";"matched-single";"En yeni aktif aday tekil secildi.";"2";"2";"";"-2,38";"";"13210e6a-a236-4a5e-a7ce-e7863946aa41 | 8e01efb1-3a41-4842-bddd-c1cbede5a301";"3f409569-d60c-43e2-943c-1cf9185e2d9e | ca5409bd-b40a-4c41-b231-009983bf14ab";"would-resolve";"Alias-aware yon eslestirme ile tekil secim korunur.";"661.11"
"292";"400kV BURSA SANAYİ - GÜRAĞAÇ EİH";"400";"matched-single";"Ayni zamanli aktif adaylar ayni degerde.";"2";"3";"";"";"";"3c6ad0cc-59b3-486a-927e-349f3156656a | a3fe737d-87a8-41a1-a913-b67637b14d5c";"64879f8b-8597-4188-a67c-d1b82e8e1567 | 9549d0ca-10d5-449c-a9e7-0325bc0c4b0d";"would-resolve";"Alias-aware yon eslestirme ile tekil secim korunur.";"624.62 | 624.62"
"293";"400kV GÜRAĞAÇ - SOMA KOLİN TES EİH";"400";"matched-single";"En yeni aktif aday tekil secildi.";"2";"2";"";"";"";"d205349c-f41c-4b8d-b230-192663fcb060 | 32df3030-9049-49a7-a579-6b60bdd711bb";"2fa25670-2e57-4739-86b3-5531f4e1f30d | 9b107de9-c9aa-4c68-a3b6-d7f790bb76e5";"would-resolve";"Alias-aware yon eslestirme ile tekil secim korunur.";"-274.98"
"294";"400kV SUGÖZÜ TES - HUNUTLU TES EİH";"400";"matched-single";"En yeni aktif aday tekil secildi.";"2";"2";"";"";"";"f8f58142-e964-4c41-94ea-d5e8612685f1 | 356d9bcc-f8e4-441a-a960-36e31a791e00";"942fa32c-1ebd-42c7-891d-ec3eecd725b5 | 5689646a-9ffc-4968-b066-6aa1b039f54b";"would-resolve";"Alias-aware yon eslestirme ile tekil secim korunur.";"-92.00"
"295";"400kV TEPEÖREN - DİLİSKELESİ GİS EİH";"400";"ambiguous-live";"Coklu aday var; kaynak terminal adlari TM adlariyla exact eslesmedigi icin yon normalize edilemiyor.";"2";"2";"";"";"";"6b0f2af3-0f1b-4f7c-873c-468338abcec2 | 33c2ffd5-fe3f-4b2c-84a8-bbeadab22423";"9e28e50a-afcc-4d49-a8a5-56ab8c14654e | b2ee8c8e-6289-421e-8fd1-87ffac79a60c";"would-resolve";"Alias-aware yon eslestirme ile tolerans icinde birlesir (58.73 MW).";"-369.92 | 428.65"
"296";"400kV REŞADİYE - KÖSE EİH";"400";"ambiguous-live";"Coklu aday var; kaynak terminal adlari TM adlariyla exact eslesmedigi icin yon normalize edilemiyor.";"2";"2";"";"57,90";"";"a5cbe8ae-0e0b-44d6-94a9-47891a1953e4 | e7e05b37-346d-4328-8e5d-6e5eb733c9ba";"c6356e29-87e7-49d4-a78b-9f1e290753a4 | 199f1a17-250e-4a0e-b4a6-57e384e9f07a";"would-resolve";"Alias-aware yon eslestirme ile tolerans icinde birlesir (1.92 MW).";"601.29 | -599.37"
"297";"400kV DENİZLİ4 - PAMUKKALE EİH";"400";"matched-single";"En yeni aktif aday tekil secildi.";"2";"2";"";"91,82";"";"0d1bf6d5-99a1-4f43-8c5c-29543fa817a9 | c77a3742-669a-4717-b714-4d703e3bff52";"58db275a-2328-4d2e-869d-62800f6b4453 | 3915eb77-80e7-4a1c-b6af-834a1182a7cd";"would-resolve";"Alias-aware yon eslestirme ile tekil secim korunur.";"-27.79"
"298";"400kV BOZOK - REŞADİYE EİH";"400";"ambiguous-live";"Coklu aday var; kaynak terminal adlari TM adlariyla exact eslesmedigi icin yon normalize edilemiyor.";"2";"2";"";"101,31";"";"fb82c106-3d46-4314-a393-c60cd3687e75 | 0ebe595a-8eb7-4b72-9bd6-a6aaf44f1fef";"a816a0a5-3a4a-4d39-bc83-0ce488b64a9d | 528b8326-f829-433e-9654-29ee8a2954ea";"would-resolve";"Alias-aware yon eslestirme ile tolerans icinde birlesir (14.72 MW).";"-464.30 | 449.58"
"299";"400kV ÜRGÜP - ELBİSTAN TES EİH";"400";"matched-single";"En yeni aktif aday tekil secildi.";"2";"2";"";"19,10";"";"2cc1e1fa-3878-45b0-a275-6476373fa35b | 0c5f0c91-d279-48b4-9fce-16babd4b30ae";"29ca18b7-3ebd-4202-b7a6-090958035b55 | 9fe060c9-5225-4f4a-a9f0-a5e072bbc3fc";"would-resolve";"Alias-aware yon eslestirme ile tekil secim korunur.";"-656.73"
"300";"400kV GÖLBAŞI - KAYSERİ KAPASİTÖR KUZEY EİH";"400";"ambiguous-live";"Coklu aday var; kaynak terminal adlari TM adlariyla exact eslesmedigi icin yon normalize edilemiyor.";"2";"2";"";"";"";"b55a3335-882b-4923-bcdf-dd3f91676b64 | 27190e4e-79a2-4526-9121-88a9b40c424b";"cfe4f1a8-9d4b-47bf-addf-015afadc120f | 0d79d932-8384-4f91-a290-9e39653545f1";"would-resolve";"Alias-aware yon eslestirme ile tolerans icinde birlesir (16.99 MW).";"-535.66 | 552.65"
"301";"400kV GÖLBAŞI - KAYSERİ KAPASİTÖR GÜNEY EİH";"400";"ambiguous-live";"Coklu aday var; kaynak terminal adlari TM adlariyla exact eslesmedigi icin yon normalize edilemiyor.";"2";"2";"";"";"";"8437775c-10d7-4e24-80ec-48605d7b502f | a9fe2bbb-d341-4f5a-9915-c081f4a95735";"9a4aff5d-fb53-4e0f-a6f3-c003ae663571 | 0053f609-df5e-42e9-b127-63148eb08160";"would-resolve";"Alias-aware yon eslestirme ile tolerans icinde birlesir (40.84 MW).";"-534.02 | 574.87"
"302";"400kV KANGAL TES - KEBAN ŞALT EİH";"400";"ambiguous-live";"Coklu aday var; kaynak terminal adlari TM adlariyla exact eslesmedigi icin yon normalize edilemiyor.";"2";"2";"";"";"";"0de6f35a-ac13-4ad4-90d1-39276e8f23c2 | 023eb4d4-055d-479f-8def-d00da8e5b139";"b58dc3b2-a22a-4ddb-a2f7-64508b73453f | cb3f2f93-ab22-4246-a2eb-b02da8c49a08";"still-ambiguous";"Alias eslestirme olsa bile uc degerler ayrisik kaliyor.";"-740.88 | 763.62"
"303";"400kV KEBAN HES - KEBAN ŞALT - II EİH";"400";"ambiguous-live";"Coklu aday var; kaynak terminal adlari TM adlariyla exact eslesmedigi icin yon normalize edilemiyor.";"2";"2";"";"";"";"cafaba63-1cbc-4d04-ac96-db774479f5d6 | 8df8f572-6fb3-49ae-a555-d34162f6ddf1";"950f9f86-2124-492f-bd84-110a2ffd9723 | bc2f9977-a8e2-4f88-93c2-e58cd62c9f76";"would-resolve";"Alias-aware yon eslestirme ile tolerans icinde birlesir (4.88 MW).";"290.20 | -285.32"
"304";"400kV KEBAN HES - KEBAN ŞALT - I EİH";"400";"ambiguous-live";"Coklu aday var; kaynak terminal adlari TM adlariyla exact eslesmedigi icin yon normalize edilemiyor.";"2";"2";"";"";"";"3079f3aa-eeef-4395-aa3e-bc30893eb06b | 036ce6a8-520c-48cd-a9ec-47c0573df51e";"152e49d4-a638-4f1e-86d3-dd8afe3deca8 | 45b5616d-e79b-4996-9e33-effb45d3d24c";"would-resolve";"Alias-aware yon eslestirme ile tolerans icinde birlesir (2.50 MW).";"284.71 | -287.21"
"305";"400kV KEBAN HES - KEBAN ŞALT - III EİH";"400";"ambiguous-live";"Coklu aday var; kaynak terminal adlari TM adlariyla exact eslesmedigi icin yon normalize edilemiyor.";"2";"2";"";"-12,76";"";"7f9f89f1-9609-4aea-a0da-304f12c0d31e | 30d6668b-b0da-423b-817d-b5681a344c6f";"bc2e6532-b9bc-47ab-b4cc-6367daa1e786 | c5f0a7d5-aeae-4340-8993-20ed8ec4e8f1";"would-resolve";"Alias-aware yon eslestirme ile tolerans icinde birlesir (4.07 MW).";"292.12 | -288.05"
"306";"400kV KARAKOÇAN - KEBAN ŞALT EİH";"400";"ambiguous-live";"Coklu aday var; kaynak terminal adlari TM adlariyla exact eslesmedigi icin yon normalize edilemiyor.";"2";"2";"";"";"";"f3fef9ee-dc5d-4b87-b98d-bf395a7c2086 | 06307396-6a5b-42cf-a0c9-08821f7c523b";"63d11ea1-53d3-407a-87e8-9d3d6bc9cc37 | 44590d5f-b92c-4d55-8b3a-52d111316b4e";"still-ambiguous";"Alias eslestirme olsa bile uc degerler ayrisik kaliyor.";"683.42 | -669.77"
"307";"400kV ELBİSTAN TES - KEBAN ŞALT EİH";"400";"matched-single";"En yeni aktif aday tekil secildi.";"2";"2";"";"98,52";"";"67374af6-73e5-46ce-86da-5bd2eb20cf87 | 4ef43e6f-72f8-4463-ad53-346e099c2170";"9a21cd36-7f1b-4639-ab12-ece35f773f92 | b04d4973-8c92-415f-a0f4-de3c811dad6b";"would-resolve";"Alias-aware yon eslestirme ile tekil secim korunur.";"757.88"
"308";"400kV KEBAN ŞALT - KARAKAYA HES - II (DOĞU) EİH";"400";"matched-single";"En yeni aktif aday tekil secildi.";"2";"2";"";"";"";"b3c93c4b-bb43-4b5e-8a29-5e9ce5a64b66 | 0de8af08-cd87-425f-a0b3-2711f58cfde8";"5b1731f5-4736-4f08-83e9-986fd104146a | 0135d9c3-0b4b-436d-9fd6-c3e0dcfaad4f";"would-resolve";"Alias-aware yon eslestirme ile tekil secim korunur.";"-561.93"
"309";"400kV KEBAN ŞALT - KARAKAYA HES - I (BATI) EİH";"400";"ambiguous-live";"Coklu aday var; kaynak terminal adlari TM adlariyla exact eslesmedigi icin yon normalize edilemiyor.";"2";"2";"";"";"";"30a9ca92-6bc0-414b-bb11-943cf762d77b | 00d1b8f4-729b-4fd5-ae5c-0bb0d8f4e9c6";"df9bd886-c5b3-4ee4-a664-8e7e99e62434 | 3e6f12ef-2e72-4bd0-87f9-f9c978c55072";"needs-better-alias";"Alias katmani olmadan terminal yonu belirlenemiyor.";"574.61 | -563.89"
"310";"400kV KAYSERİ KAPASİTÖR - KEBAN ŞALT - I (KUZEY) EİH";"400";"ambiguous-live";"Coklu aday var; kaynak terminal adlari TM adlariyla exact eslesmedigi icin yon normalize edilemiyor.";"2";"2";"";"-68,00";"";"76eca8a5-2dc0-46a9-9bcb-61a2fb383b0d | 75cfe044-b49b-475e-ba30-f22fd9fc2557";"921dbeb5-5fb8-4b8b-ba05-ba0feb894c43 | f3c5c5b5-c635-495c-a5f3-2f77a5cced6f";"needs-better-alias";"Alias katmani olmadan terminal yonu belirlenemiyor.";"-561.40 | 596.94"
"311";"400kV KAYSERİ KAPASİTÖR - KEBAN ŞALT - II (GÜNEY) EİH";"400";"matched-single";"En yeni aktif aday tekil secildi.";"2";"2";"";"120,05";"";"e9ba9a06-d349-4d68-bc8f-bbe61b3b72fc | 1cbec73f-1495-4267-91a2-0660b8348b3e";"8345d35e-7a18-40eb-9fd5-2535ba3dc41a | dac1898e-5510-44ea-8244-32bf79b2ef13";"would-resolve";"Alias-aware yon eslestirme ile tekil secim korunur.";"600.03"
"312";"400kV BAĞIŞTAŞ - KEBAN ŞALT EİH";"400";"ambiguous-live";"Coklu aday var; kaynak terminal adlari TM adlariyla exact eslesmedigi icin yon normalize edilemiyor.";"2";"2";"";"-23,91";"";"efacbccc-0bf0-46e4-8e02-b05c6be87f03 | ae3b22a7-4281-4c8c-91a9-b42fe673d887";"bd5a89a2-e7b7-4a9a-b597-12188703b818 | 1ea0aa00-9b21-4501-9da1-b5d44124616a";"still-ambiguous";"Alias eslestirme olsa bile uc degerler ayrisik kaliyor.";"63.34 | -50.28"
"313";"400kV ZETES3 - KARADENİZ DOĞALGAZ GİS EİH";"400";"ambiguous-live";"Coklu aday var; kaynak terminal adlari TM adlariyla exact eslesmedigi icin yon normalize edilemiyor.";"2";"2";"";"";"";"b98089fd-3fdd-4e86-bc37-f856bffd3bef | f849b5eb-5232-4c92-86fe-cb2bb5299bd3";"0be00b87-5ec3-409f-b63f-9cbf22c3c719 | db752057-4454-47b9-92fe-ee98a0792fc9";"still-ambiguous";"Alias eslestirme olsa bile uc degerler ayrisik kaliyor.";"-21.11 | 28.45"
"314";"400kV BARTIN OSB - KARADENİZ DOĞALGAZ GİS EİH";"400";"ambiguous-live";"Coklu aday var; kaynak terminal adlari TM adlariyla exact eslesmedigi icin yon normalize edilemiyor.";"2";"2";"";"-15,80";"";"fa9ebf6f-7499-4bf0-a185-fae191964190 | ad68b6b3-86bd-4a0d-b001-73b01f202629";"ff622211-24c5-4849-a249-fe0f2e5fec1c | 9e044b78-ec27-4be5-838e-bf7897ed6141";"still-ambiguous";"Alias eslestirme olsa bile uc degerler ayrisik kaliyor.";"-18.76 | 30.25"
"315";"400kV ERZİN DGKÇ - SARISEKİ DEMİRÇELİK EİH";"400";"ambiguous-live";"Coklu aday var; kaynak terminal adlari TM adlariyla exact eslesmedigi icin yon normalize edilemiyor.";"2";"2";"";"-4,90";"";"f168d005-92fb-426a-af13-0a7f72edb3d8 | e10fe584-606e-4816-8d87-0fa9a7e8914c";"e89a7e81-6613-4407-8d94-2cfb4426ecf8 | c08207fc-74a5-477b-87f3-aa364f9919c0";"would-resolve";"Alias-aware yon eslestirme ile tolerans icinde birlesir (62.74 MW).";"280.64 | -217.90"
"316";"400kV MİSİS OSB - HUNUTLU TES EİH";"400";"ambiguous-live";"Coklu aday var; kaynak terminal adlari TM adlariyla exact eslesmedigi icin yon normalize edilemiyor.";"2";"2";"";"";"";"a22a58e5-df17-4f8a-a822-b043a755993e | 91667023-208b-46a4-a94b-99e2695d088a";"4ca2ecd1-c65c-4837-870b-5296c3d93543 | 3c3df4b7-0c24-4184-9f76-4cfca120d980";"would-resolve";"Alias-aware yon eslestirme ile tolerans icinde birlesir (9.64 MW).";"148.52 | -138.88"
"317";"400kV GÜRAĞAÇ - ULUDAĞ GİS EİH";"400";"matched-single";"En yeni aktif aday tekil secildi.";"2";"2";"";"-8,36";"";"74d98a20-d4b4-4911-a6df-f9df00536856 | a76cd02a-8d3d-4fd4-b3fa-25d43602352f";"607a214d-29dc-4303-9718-ea686531b93f | 57c51d71-2b32-419a-8660-d5878df7773b";"would-resolve";"Alias-aware yon eslestirme ile tekil secim korunur.";"299.34"
"318";"400kV AFYON2 - KONYA KUZEY EİH";"400";"matched-single";"En yeni aktif aday tekil secildi.";"2";"2";"";"";"";"b3a9238c-9040-47e6-a9e2-5d64c734e836 | 8a7f5dbf-ae05-4ed3-8c40-fe8526dc472e";"8685732a-a86a-46df-8f00-0bcebbe8781b | 751ae007-9099-46b2-a2d8-4c996f23bdd3";"would-resolve";"Alias-aware yon eslestirme ile tekil secim korunur.";"287.43"
"319";"400kV ADA1 DGKÇS - TEPEÖREN EİH";"400";"ambiguous-live";"Coklu aday var; kaynak terminal adlari TM adlariyla exact eslesmedigi icin yon normalize edilemiyor.";"1";"2";"";"-32,54";"";"2afcaabb-399d-43c0-83e4-9e8ea9a8b5e5";"302a8ad8-ac0c-48ef-9fba-1b4b2c1af728";"needs-better-alias";"Alias katmani olmadan terminal yonu belirlenemiyor.";"423.57 | -423.57"
"320";"400kV ADAPAZARI - TEPEÖREN EİH";"400";"ambiguous-live";"Coklu aday var; kaynak terminal adlari TM adlariyla exact eslesmedigi icin yon normalize edilemiyor.";"1";"2";"";"";"";"b072f90b-9928-4839-9097-73aa4f554a2a";"bd7b852e-e9ea-40ee-b47f-29be911624d3";"still-ambiguous";"Alias eslestirme olsa bile uc degerler ayrisik kaliyor.";"709.08 | -709.08"
"321";"400kV CENGİZ DGKÇ - SAMSUN2 EİH";"400";"ambiguous-live";"Coklu aday var; kaynak terminal adlari TM adlariyla exact eslesmedigi icin yon normalize edilemiyor.";"2";"2";"";"";"";"0e28ea16-ca67-4904-ae1c-38544fb3b284 | 84350f35-ef19-4f3e-a18d-9bad3ef2a4ec";"e512e44a-c590-4434-8b19-2d1f5633134d | 30fdf40c-59f5-40e3-a874-35192f72daef";"would-resolve";"Alias-aware yon eslestirme ile tolerans icinde birlesir (6.95 MW).";"123.86 | -116.91"
"322";"400kV ALİAĞA2 - BORNOVA380 EİH";"400";"ambiguous-live";"Coklu aday var; kaynak terminal adlari TM adlariyla exact eslesmedigi icin yon normalize edilemiyor.";"2";"2";"";"";"";"5f691f4a-e1a6-4a5f-bdd8-defdbf7dee25 | 127f5e5f-69b8-4811-90e7-7d3b08541052";"590a7ffb-bc53-4131-b788-9845866fdb9a | b4736e80-8279-4691-a494-80f6aabc12ce";"needs-better-alias";"Alias katmani olmadan terminal yonu belirlenemiyor.";"-362.27 | 397.71"
"323";"400kV TEMELLİ - İGA GES EİH";"400";"ambiguous-live";"Coklu aday var; kaynak terminal adlari TM adlariyla exact eslesmedigi icin yon normalize edilemiyor.";"2";"2";"";"-39,55";"";"ed1a1ec7-82a1-4301-b68c-54f0a26e14f3 | 2ee7de58-a1a4-4c21-8e5b-6046ebe89bcc";"d39600a2-bce7-4307-b05e-6bebf722364f | d13c3b31-5775-4241-b428-3cad4d2aa148";"would-resolve";"Alias-aware yon eslestirme ile tolerans icinde birlesir (8.74 MW).";"-91.65 | 100.39"
"324";"400kV İGA GES - AFYON2 EİH";"400";"matched-single";"En yeni aktif aday tekil secildi.";"2";"2";"";"0,79";"";"806cf976-cc8f-4a3e-bc07-171c3fa99e9d | 147d5ba7-5e37-4b26-bb7b-58e2cc05fc94";"72b40e7a-2d39-4f14-915a-2e286d2983ea | fa173e74-cda3-4a87-8452-7c6e59bf1452";"would-resolve";"Alias-aware yon eslestirme ile tekil secim korunur.";"137.40"
"325";"400kV HAMİTABAT DGKÇ - ENKA KIRKLARELİ DGKÇS - I EİH";"400";"matched-single";"En yeni aktif aday tekil secildi.";"2";"2";"";"-30,87";"";"f27f0db7-21cd-4167-adb0-c0c2990d8605 | 564c13e8-33e5-45c6-8530-2c0cc2bdce8a";"2fcdbb1b-3432-4152-910d-ab9fa18c2f42 | 55e49d5c-63ec-4543-841c-d90755a06137";"would-resolve";"Alias-aware yon eslestirme ile tekil secim korunur.";"283.37"
"326";"400kV TEPEÖREN - DERİ OSB EİH";"400";"matched-single";"En yeni aktif aday tekil secildi.";"2";"2";"";"";"";"3c8fbc4b-29e5-4485-8e3c-0b4a64a8e397 | 6672c268-8dfa-4c8e-8cb6-fe7e84076acc";"239b4c84-a887-4cd0-83a9-017f515566e4 | 766c1da7-9bd3-42bc-a103-3e0afc7e5a18";"would-resolve";"Alias-aware yon eslestirme ile tekil secim korunur.";"-193.62"
"327";"400kV ALİAĞA2 - BOZKÖY GİS EİH";"400";"matched-single";"En yeni aktif aday tekil secildi.";"2";"2";"";"";"";"ada0b87b-3aad-435f-b7c5-f81a8c38e2c9 | 67369fce-4f0e-434e-ae45-f828cd5e0e98";"619f995a-8401-4fcc-b89b-46b2e16c94cd | c97b1e73-73d1-4117-baef-ede6f42296e7";"would-resolve";"Alias-aware yon eslestirme ile tekil secim korunur.";"54.31"
"328";"400kV İZDEMİR TES - BOZKÖY GİS EİH";"400";"ambiguous-live";"Coklu aday var; kaynak terminal adlari TM adlariyla exact eslesmedigi icin yon normalize edilemiyor.";"2";"2";"";"";"";"b76451da-b12f-4f54-81a7-832729e6945e | 2b2410d3-4c57-492f-808b-d9644bdd011f";"3583f2aa-e8f1-48a8-8402-a85bc76f9929 | 33bb1ef2-795d-49e0-a34d-77fed34c387e";"would-resolve";"Alias-aware yon eslestirme ile tolerans icinde birlesir (43.17 MW).";"-63.05 | 106.22"
"329";"400kV İSTANBUL DGKÇ (A) - DELİKLİKAYA EİH";"400";"ambiguous-live";"Coklu aday var; kaynak terminal adlari TM adlariyla exact eslesmedigi icin yon normalize edilemiyor.";"2";"2";"";"";"";"1fa5879f-2dcd-4b9f-ba83-e194a0f43e66 | 6bb5bc52-7162-46e9-95c5-0fe39674a420";"2b93ffc3-b4d0-4143-9410-fbbf9f5e1954 | 0323f927-74e9-4b48-8b1a-3a01e790e263";"needs-better-alias";"Alias katmani olmadan terminal yonu belirlenemiyor.";"102.67 | -83.35"
"330";"400kV ÇETİN HES -> CİZRE - SİLOPİ TES EİH";"400";"missing-config-id";"Aktif SCADA ID tanimi yok.";"0";"0";"";"";"";"";"";"";"";""
