"Sira";"Trafo";"TM";"Tip";"MW";"MVAR";"Yuklenme (%)"
"257";"TR-A";"BOR";"Dağıtım Trafosu";"-0,34";"-0,50";"0,54"
"258";"TR-C";"HACILAR";"Dağıtım Trafosu";"";"0,40";"0,53"
"259";"TR-B";"KALECİK";"Dağıtım Trafosu";"-0,33";"-0,15";"0,53"
"260";"TR-B";"KARAPINAR";"Dağıtım Trafosu";"-0,50";"-0,28";"0,50"
"261";"TR-C";"KAYSERİ4";"Dağıtım Trafosu";"0,50";"0,17";"0,50"
"262";"TR-B";"BAĞLUM";"Dağıtım Trafosu";"-0,29";"-0,11";"0,47"
"263";"TR-B";"EMİRLER";"Dağıtım Trafosu";"0,41";"-0,10";"0,41"
"264";"TR-B";"AKDAĞ MADENİ";"Dağıtım Trafosu";"-0,24";"0,41";"0,39"
"265";"6,3 kV TR-1";"ÇAYIRHAN TES";"Dağıtım Trafosu";"-0,09";"-0,06";"0,36"
"266";"TR-B";"BOR";"Dağıtım Trafosu";"-0,22";"-0,66";"0,35"
"267";"TR-A";"PINARBAŞI";"Dağıtım Trafosu";"-0,21";"0,07";"0,34"
"268";"TR-A";"DERİNKUYU";"Dağıtım Trafosu";"-0,33";"-0,38";"0,33"
"269";"TR-A";"BEYPAZARI";"Dağıtım Trafosu";"-0,19";"0,20";"0,30"
"270";"STARTUP";"KAZAN DGKÇ";"Dağıtım Trafosu";"-0,06";"-";"0,30"
"271";"TR-A";"KARAPINAR";"Dağıtım Trafosu";"-0,30";"1,83";"0,30"
"272";"TR-B";"ŞEREFLİKOÇHİSAR";"Dağıtım Trafosu";"-0,17";"-0,03";"0,27"
"273";"TR-A";"KULU";"Dağıtım Trafosu";"0,17";"-";"0,26"
"274";"TR-B";"POLATLI";"Dağıtım Trafosu";"";"0,21";"0,21"
"275";"TR-B";"MALTEPE ANKARA";"Dağıtım Trafosu";"-0,05";"-";"0,20"
"276";"TR-A";"ORTAKÖY";"Dağıtım Trafosu";"-0,12";"0,21";"0,20"
"277";"TR-B";"CİHANBEYLİ";"Dağıtım Trafosu";"0,19";"-0,12";"0,19"
"278";"TR-A";"AYRANCI GEÇİCİ";"Dağıtım Trafosu";"";"0,10";"0,16"
"279";"TR-A";"YEŞİLHİSAR";"Dağıtım Trafosu";"-0,07";"0,56";"0,11"
"280";"TR-B";"KULU";"Dağıtım Trafosu";"-0,05";"-0,32";"0,08"
"281";"TR-B";"KIRŞEHİR";"Dağıtım Trafosu";"-0,04";"-0,29";"0,06"
"282";"TR-B";"SORGUN";"Dağıtım Trafosu";"";"0,02";"0,03"
"283";"C-TR-6";"SİNCAN";"Dağıtım Trafosu";"-0,01";"-0,13";"0,01"
"284";"TR";"ÇAYIRHAN TES";"Dağıtım Trafosu";"";"-";""
"285";"TR-A";"HASKÖY";"Dağıtım Trafosu";"";"-";""
"286";"TR-1";"ÇİMPOR";"Dağıtım Trafosu";"0,00";"0,00";"0,00"
"287";"TR-A";"KEPEZKAYA HAVZA";"Dağıtım Trafosu";"0,00";"0,00";"0,00"
"288";"TR-B";"HASKÖY";"Dağıtım Trafosu";"";"-";""
"289";"TR-A";"YENİCE HES";"Dağıtım Trafosu";"0,00";"0,00";"0,00"
"290";"TR-A";"YAHYALI RES";"Dağıtım Trafosu";"";"-";""
"291";"TR-B";"LADİK";"Dağıtım Trafosu";"0,00";"0,00";"0,00"
"292";"TR-E";"ETİ SODA";"Dağıtım Trafosu";"";"-";""
"293";"TR-A";"KONYA ÇİMENTO";"Dağıtım Trafosu";"";"-";""
"294";"TR-D";"KAYSERİ4";"Dağıtım Trafosu";"";"-";""
"295";"TR-A";"ÖKSÜT MADENCİLİK";"Dağıtım Trafosu";"";"-";""
"296";"6,3 kV TR-2";"ÇAYIRHAN TES";"Dağıtım Trafosu";"";"-";""
"297";"TR-1";"AKYEL 1 RES";"Dağıtım Trafosu";"";"-";""
"298";"TR-2";"AKYEL 1 RES";"Dağıtım Trafosu";"";"-";""
"299";"TR-B";"ALTINOVA";"Dağıtım Trafosu";"";"-";""
"300";"TR-A";"İNCEK";"Dağıtım Trafosu";"";"-";""
"301";"TR-B";"KEPEZKAYA HAVZA";"Dağıtım Trafosu";"0,00";"0,00";"0,00"
"302";"TR-C";"AKKÖPRÜ";"Dağıtım Trafosu";"";"-";""
"303";"TR-C";"BİLKENT";"Dağıtım Trafosu";"0,00";"0,00";"0,00"
"304";"TR-A";"BOZOK";"Dağıtım Trafosu";"";"-";""
"305";"TR-A";"KALECİK";"Dağıtım Trafosu";"";"-";""
"306";"TR-A";"ÜRGÜP";"Dağıtım Trafosu";"";"-";""
"307";"TR-A";"KAYAŞ";"Dağıtım Trafosu";"0,00";"0,00";"0,00"
"308";"TR-A";"HADİM";"Dağıtım Trafosu";"";"-";""
"309";"TR-B";"HADİM";"Dağıtım Trafosu";"";"-";""
"310";"TR-B";"UZAY OSB";"Dağıtım Trafosu";"";"-";""
"311";"PRTR-8";"KAZAN DGKÇ";"Dağıtım Trafosu";"";"-";""
"312";"TR-D";"BAĞLICA";"Dağıtım Trafosu";"";"-";""
"313";"TR-3";"AKYEL 1 RES";"Dağıtım Trafosu";"";"-";""
"314";"TR-A";"KIZILCAHAMAM";"Dağıtım Trafosu";"";"-";""
"315";"TR-A";"ÇAMLICA1 HES";"Dağıtım Trafosu";"";"-";""
"316";"TR-A";"SORGUN";"Dağıtım Trafosu";"";"-";""
"317";"TR-C";"ÇİNKUR";"Dağıtım Trafosu";"";"-";""
